uplink,downlink
235566356.0,945044916.0
162367766.0,794076351.0
314259634.0,1395185090.0
202722156.0,1086553792.0
391557497.0,1782941670.0
223639434.0,1261653935.0
386856165.0,1995481789.0
229366129.0,1303885321.0
345747157.0,2035470925.0
218790419.0,1364899339.0
321453855.0,2028582825.0
220806211.0,1439358496.0
297182260.0,2083075389.0
215917516.0,1418257067.0
292129858.0,2086519007.0
206640640.0,1340590072.0
334108063.0,2088955730.0
215297490.0,1360550267.0
328236005.0,2074151419.0
209760845.0,1377917175.0
311051979.0,2068838640.0
209376877.0,1337705400.0
330241924.0,2080931666.0
212298143.0,1312441188.0
324132079.0,2074254769.0
216210691.0,1318470326.0
308726632.0,2093206472.0
207883597.0,1435193791.0
286273502.0,2086028645.0
214928652.0,1516610352.0
275421089.0,1988014333.0
231084858.0,1589112327.0
269046177.0,2006986112.0
223083000.0,1566045903.0
294717786.0,2120245651.0
200437115.0,1447454257.0
114468965.0,757188679.0
150723793.0,956903667.0
136649931.0,908690713.0
109292394.0,645890135.0
142173922.0,765824001.0
120008882.0,530488975.0
160135268.0,706978382.0
116704273.0,461001425.0
150444164.0,657199072.0
119123767.0,402833096.0
169275332.0,639663623.0
144779370.0,492267261.0
228897954.0,905910524.0
184980676.0,763202304.0
283522304.0,1381576956.0
217076226.0,1017498525.0
347091783.0,1633720379.0
227197607.0,1202945186.0
400271347.0,1834633240.0
239004268.0,1339961206.0
399534373.0,1961666704.0
245474006.0,1354768945.0
351386773.0,1883294085.0
213546326.0,1214593311.0
323766094.0,1945579821.0
205350860.0,1305972770.0
319088931.0,1940431638.0
178450993.0,1115208702.0
293496999.0,2008995799.0
200571365.0,1282403746.0
309416767.0,2003903954.0
205783676.0,1251513112.0
310105363.0,2021929051.0
211135337.0,1310394172.0
293733786.0,2009765321.0
203822934.0,1320462350.0
302344765.0,2016532550.0
191877220.0,1324570587.0
284701626.0,1933998963.0
220807116.0,1423505434.0
281476593.0,1873285296.0
238758744.0,1505138128.0
282298842.0,1859242720.0
230227121.0,1562658309.0
279471056.0,1909071348.0
213594776.0,1542059566.0
276391275.0,2023369108.0
183161451.0,1375696989.0
129995542.0,729329696.0
130482825.0,868397182.0
130695553.0,873980974.0
96926286.0,630635380.0
124327289.0,655094937.0
101183032.0,463907401.0
120554251.0,572736064.0
110415286.0,411920452.0
152579685.0,498695433.0
106503342.0,369622976.0
195110744.0,664634205.0
135115343.0,458945084.0
269611707.0,957816784.0
170679464.0,702238864.0
319902161.0,1366944226.0
190631657.0,906395296.0
386621036.0,1846059551.0
245417937.0,1198385892.0
336393964.0,1897555822.0
230056796.0,1264771504.0
314133922.0,1770147158.0
241158747.0,1282367992.0
294051889.0,1733373198.0
225560254.0,1296465629.0
294662562.0,1735148157.0
222049642.0,1329608783.0
275020215.0,1747330426.0
228697978.0,1418877141.0
274012217.0,1780160146.0
240544365.0,1408395225.0
277092008.0,1784401121.0
239593455.0,1437243816.0
289384314.0,1779399180.0
205166783.0,1326295986.0
298267880.0,1808662455.0
227462691.0,1411051555.0
294502034.0,1857556631.0
237844316.0,1424244821.0
281594615.0,1920523573.0
237210464.0,1507403677.0
289681331.0,1850665810.0
246947619.0,1694210044.0
274117943.0,1816474749.0
249270224.0,1783275646.0
267709630.0,1878131716.0
223956132.0,1708218513.0
281437130.0,2017389141.0
183672551.0,1373201873.0
124647112.0,695642143.0
116761617.0,856188753.0
131075853.0,794727648.0
107839936.0,641445304.0
131210585.0,652630890.0
109357250.0,516537879.0
143481509.0,544164727.0
94333637.0,441004920.0
134838812.0,526111802.0
102384787.0,380961080.0
182892825.0,628318308.0
132236478.0,511582856.0
243917693.0,896548563.0
164016312.0,787526316.0
313603154.0,1378554439.0
237653593.0,1092038069.0
384062160.0,1884327025.0
270072204.0,1325759867.0
321479668.0,1905473710.0
262616838.0,1422415180.0
305758408.0,1781152964.0
173248419.0,1006993190.0
281198082.0,1679801242.0
153332663.0,890847119.0
283715295.0,1680101424.0
210812030.0,1217214145.0
281389686.0,1704479894.0
221086719.0,1327359925.0
280980617.0,1743724176.0
