ratio,maximum,success
65.714,9954.0,6139.0
99.439,10366.0,4078.0
64.144,10032.0,6721.0
99.305,10375.0,4287.0
68.987,10035.0,6560.0
99.227,10293.0,3596.0
35.823,9929.0,4594.0
46.93,9959.0,1735.0
72.707,9466.0,3591.0
99.473,9302.0,3586.0
74.533,8896.0,2833.0
99.027,8608.0,1120.0
80.835,8226.0,1569.0
98.9,8004.0,1079.0
94.319,7958.0,1544.0
98.109,7918.0,882.0
88.489,7800.0,1353.0
98.271,7789.0,966.0
84.599,7680.0,1626.0
98.643,7729.0,1090.0
81.792,7827.0,2556.0
99.328,8230.0,2218.0
71.96,8517.0,4355.0
99.246,8946.0,3291.0
68.979,9330.0,5310.0
99.374,9808.0,3969.0
69.279,9998.0,5498.0
99.417,10190.0,3751.0
64.932,10367.0,5577.0
99.206,10395.0,3625.0
3.23,10478.0,3439.0
98.632,11414.0,4471.0
7.362,6801.0,5404.0
99.049,11491.0,3647.0
64.024,7652.0,4821.0
99.382,11456.0,3537.0
78.416,7992.0,5068.0
99.481,11388.0,4028.0
80.454,8435.0,6236.0
99.216,11255.0,3797.0
11.481,8513.0,5049.0
99.038,11341.0,3706.0
2.426,4089.0,2621.0
99.138,11408.0,3794.0
22.853,6969.0,5159.0
99.365,11358.0,3756.0
52.496,7628.0,3723.0
99.36,11168.0,3107.0
61.368,7991.0,4664.0
99.406,10921.0,3514.0
59.976,8371.0,5020.0
99.464,10923.0,3894.0
56.659,8588.0,4948.0
99.506,10822.0,2822.0
71.436,8539.0,4054.0
99.326,10563.0,1917.0
80.207,8311.0,2942.0
99.45,10007.0,4158.0
76.167,7892.0,2985.0
98.935,9137.0,1393.0
91.511,7290.0,1768.0
98.464,8708.0,1026.0
88.519,6983.0,1488.0
98.888,8544.0,1067.0
86.631,6761.0,1782.0
98.62,8392.0,1072.0
91.839,6646.0,1958.0
99.345,8390.0,1365.0
78.47,6848.0,2380.0
99.186,8868.0,2316.0
71.197,7708.0,4044.0
99.136,9178.0,7688.0
26.002,8369.0,7265.0
99.487,9903.0,4264.0
61.666,9025.0,4731.0
99.296,10446.0,3810.0
59.825,9361.0,4850.0
99.241,10641.0,3922.0
64.904,9706.0,5267.0
99.274,10770.0,3557.0
66.61,9851.0,5466.0
99.027,10777.0,3460.0
55.417,10104.0,5361.0
99.626,10737.0,4528.0
78.967,10207.0,6544.0
99.391,10630.0,3591.0
83.857,10330.0,5984.0
99.17,10547.0,3702.0
74.983,10235.0,6645.0
99.299,10508.0,3398.0
70.528,10235.0,5291.0
99.315,10430.0,3189.0
79.706,10195.0,5750.0
99.361,10308.0,3266.0
61.841,10156.0,5630.0
98.548,10110.0,3325.0
67.198,10240.0,5646.0
99.491,10050.0,3128.0
48.227,10243.0,5195.0
99.336,10072.0,4040.0
49.975,10247.0,5057.0
99.18,9950.0,3144.0
58.755,10146.0,4466.0
98.968,9709.0,2014.0
